Objeto,Confianza,X1,Y1,X2,Y2,Tiempo
telefono celular,0.4136788547039032,446,156,525,288,1743640729.2130713
persona,0.9326444268226624,23,1,635,479,1743640729.2975757
bottle,0.4859720766544342,27,353,57,405,1743640729.2978098
telefono celular,0.45875588059425354,445,158,525,290,1743640729.2979639
persona,0.9326444268226624,23,1,635,479,1743640729.3629787
bottle,0.4859720766544342,27,353,57,405,1743640729.3632007
telefono celular,0.45875588059425354,445,158,525,290,1743640729.3633623
persona,0.9326444268226624,23,1,635,479,1743640729.449792
bottle,0.4859720766544342,27,353,57,405,1743640729.4500663
telefono celular,0.45875588059425354,445,158,525,290,1743640729.4502454
persona,0.9201304912567139,26,1,640,479,1743640729.5266783
bottle,0.4629654586315155,28,353,57,405,1743640729.5269039
telefono celular,0.3373570144176483,448,157,523,288,1743640729.527088
persona,0.9201304912567139,26,1,640,479,1743640729.5959563
bottle,0.4629654586315155,28,353,57,405,1743640729.5962033
telefono celular,0.3373570144176483,448,157,523,288,1743640729.596359
persona,0.9233006238937378,25,2,640,479,1743640729.6636128
bottle,0.40346258878707886,27,353,57,405,1743640729.6638124
persona,0.925771176815033,27,2,640,479,1743640729.730305
bottle,0.37664636969566345,28,353,57,405,1743640729.7305646
persona,0.925771176815033,27,2,640,479,1743640729.7963035
bottle,0.37664636969566345,28,353,57,405,1743640729.796541
persona,0.925771176815033,27,2,640,479,1743640729.865862
bottle,0.37664636969566345,28,353,57,405,1743640729.8660846
persona,0.9240977168083191,26,1,640,479,1743640729.9312057
bottle,0.4426378905773163,28,353,57,404,1743640729.9314222
persona,0.9240977168083191,26,1,640,479,1743640729.9958217
bottle,0.4426378905773163,28,353,57,404,1743640729.9960752
persona,0.9202811121940613,26,2,636,479,1743640730.0604684
bottle,0.44855403900146484,28,352,57,405,1743640730.0606802
persona,0.9222389459609985,29,1,639,479,1743640730.123648
bottle,0.36182382702827454,27,353,57,404,1743640730.1238623
persona,0.9222389459609985,29,1,639,479,1743640730.1872303
bottle,0.36182382702827454,27,353,57,404,1743640730.1874585
persona,0.9222389459609985,29,1,639,479,1743640730.2497275
bottle,0.36182382702827454,27,353,57,404,1743640730.2499297
persona,0.9302902817726135,23,1,635,478,1743640730.312469
bottle,0.44242164492607117,27,353,57,405,1743640730.3127155
persona,0.9302902817726135,23,1,635,478,1743640730.3733299
bottle,0.44242164492607117,27,353,57,405,1743640730.3736367
persona,0.9244093298912048,24,0,636,479,1743640730.4349124
bottle,0.4744763970375061,28,353,57,405,1743640730.435151
